Month,AnnualCPIchange
2016 July,-0.2
2016 April,0
2016 May,0
2016 June,0
2016 September,0.1
2016 August,0.2
2016 October,0.4
2016 January,0.6
2016 February,0.6
2016 March,0.6
2016 November,0.6
2020 August,0.7
2020 November,0.8
2016 December,1
2018 March,1
2020 December,1
2017 March,1.1
2017 May,1.1
2017 June,1.1
2018 April,1.1
2020 September,1.1
2018 February,1.2
2020 April,1.2
2020 May,1.2
2020 October,1.2
2017 July,1.3
2017 October,1.3
2017 December,1.3
2017 August,1.4
2020 March,1.4
2021 July,1.4
2017 September,1.5
2017 November,1.5
2018 January,1.5
2017 April,1.6
2020 February,1.6
2020 June,1.6
2021 January,1.6
2017 January,1.7
2018 May,1.7
2018 June,1.7
2020 July,1.7
2017 February,1.8
2020 January,1.8
2021 February,1.8
2018 September,1.9
2021 March,1.9
2021 April,1.9
2018 November,2
2018 December,2
2021 June,2
2018 July,2.1
2018 August,2.1
2018 October,2.1
2021 May,2.1
2019 January,2.2
2019 May,2.4
2021 August,2.4
2019 July,2.5
2019 February,2.6
2019 September,2.6
2019 November,2.6
2019 June,2.7
2019 October,2.7
2019 December,2.7
2021 September,2.7
2019 March,2.8
2019 August,2.8
2019 April,2.9
2021 October,3.4
2021 November,5.2
2021 December,5.7
2022 February,6.2
2022 January,6.4
2022 June,8.6
2022 May,8.8
2022 April,9.6
2022 December*,9.6
2022 March,9.7
2022 November,9.9
2022 July,10.3
2022 August,12
2022 October,14.3
2022 September,14.5
